! にじさんじ
! --------------------------------------------------------------------------------
にこ	弐伍
たかなしみみ	小鳥遊ミミ
うみほしすてら	海星ステラ

! 別名義など
! --------------------------------------------------------------------------------
はなぶせしほ	花伏しほ (Hanabuse Shiho)
かどなしえりふぁ	Kadonashi Elifa	// レヴィ・エリファ
つきのみう	月野美兎	//氷儚かの
そらほしきらと	空星キラト (Sorahoshi Kirato)	//星空きらめ
るこ	Ruco	//鈴木勝
よみなみさくや	黄泉波咲夜	//海夜叉神
でびっち	でびっち	//でびでび・でびる
しぶやおわり	渋谷 オワリ	//渋谷ハジメ
のらねこ	野良猫(Noraneko)	//文野環
ゆがみん	ゆがみん (Yugamin)
たずみりく	田角リク (Tadumi Riku)
けんもちりきや	剣持力也 (Kenmochi Rikiya)
けんもちとうこ	剣持刀子 (Kenmochi Touko)

! NIJISANJI ID
! --------------------------------------------------------------------------------
たからじまん	Taka Radjiman (タカ・ラジマン)
ぜあこるねりあ	ZEA Cornelia (ゼア・コルネリア)
はなまきあ	Hana Macchia (ハナ・マキア)
らいがりれい	Rai Galilei (ライ・ガリレイ)
あみしあみしぇら	Amicia Michella (アミシア・ミシェラ)
みゆおったゔぃあ	Miyu Ottavia (ミユ・オッタヴィア)
りくさでぃれんどら	Riksa Dhirendra (リクサ・ディレンドラ)
らいらあるすとろえめりあ	Layla Alstroemeria (ライラ・アルストロエメリア)
ならはらまうん	Nara Haramaung (ナラ・ハラマウン)
あずらせしりあ	Azura Cecillia (アズラ・セシリア)
えとなくりむそん	Etna Crimsona (エトナ・クリムソン)
ぼんにふぃえるぷらなじゃ	Bonnivier Pranaja (ボンニフィエル・プラナジャ)
しすかれおんたいん	Siska Leontyne (シスカ・レオンタイン)

! NIJISANJI KR
! --------------------------------------------------------------------------------
あきられい	아키라 레이 (明楽レイ / Ray Akira)
いしう	이시우 (イ・シウ / Siu Lee)
いろは	이로하 (イ・ロハ / Roha Lee)
うぃふぃ	위피 (ウィフィ / Wiffy)
がおん	가온 (ガオン / Gaon)
しんゆや	신유야 (シン・ユヤ / 申幽夜 / Yuya Shin)
そなぎ	소나기 (ソ・ナギ / Nagi So)
ちぇあら	채아라 (チェ・アラ / Ara Chae)
ぬんぼら	눈보라 (ヌン・ボラ / Nun Bora)
はんちほ	한치호 (ハン·チホ / 韓淄蝴 / Chiho Han)
みんすぅーは	민수하 (ミン・スゥーハ / Suha Min)

! NIJISANJI KR (引退・脱退)
! --------------------------------------------------------------------------------
ゆるり	유루리 (ユ・ルリ / Yu Ruri)
かえん	카엔 (カエン / Kaen)
ろーろー	로로 (ローロー / Lorou)
はくれん	백연 (ハクレン / 白恋 / Hakuren)

! VirtuaReal Project
! --------------------------------------------------------------------------------
あいね	艾因 ( Eine)
あざ	阿萨 (Aza)
いちご	一果 (Ichigo)
かおす	卡欧斯 (Chaos)
かる	花留 (Karu)
きよら	清良 (Kiyora)
こういち	光一 (Kouichi)
さまえる	萨麦尔 (Samael)
さや	沙夜 (Saya)
しき	紫纪 (Shiki)
せいや	星也 (Seiya)
たびびと	度人 (Tabibito)
ちはる	千春 (Chiharu)
ななみ	七海 ( Nanami)
にゃつき	喵月 (Nyatsuki)
ぷらす	有加 (Plus)
ほしみ	星弥 (Hoshimi)
まひる	真绯瑠 (Mahiru)
みき	弥希 (Miki)
むり	无理 (Muri)
やぎみちゆき	八木迪之 (Yagi)
ゆきえ	雪絵 (Yukie)
るき	琉绮 (Ruki)
ろい	罗伊 (Roi)
わくひめ	惑姫 (Waku)

! VirtuaReal Star
! --------------------------------------------------------------------------------
りんいぇんようさ	泠鸢Yousa (Ling Yuan Yousa)

! 元 VirtuaReal Project
! --------------------------------------------------------------------------------
はのん	羽音 (ハノン / Hanon)
みもい	御水 (ミモイ / Mimoi)
ぱっくす	帕克丝 (パックス / Pax)

! NIJISANJI EN
! --------------------------------------------------------------------------------
あでぃあ	Aadya (アディア)
びはん	Vihaan (ビハン)
ぬーる	Noor (ヌール)

! ユメノグラフィア
! --------------------------------------------------------------------------------
あおみかやな	蒼海カヤナ (Aomi Kayana)
あさぎりいづる	朝霧いづる (Asagiri Izuru)
いちのもりこひな	苺ノ森こひな (Ichinomori Kohina)
かたくらひとみ	片倉一実 (Katakura Hitomi)
くれまはくぼ	暮間珀暮 (Kurema Hakubo)
くれやぺい	紅夜ぺい (Kureya Pei)
こはなてくと	小花てくと (Kohana Techt)
ころぼしまう	ころぼしまう (Koroboshi Mau)
しのみやとうか	四ノ宮透華 (Shinomiya Touca)
はえとりかづら	蝿取かづら (Haetori Kazura)
はとおかここ	鳩岡小恋 (Hatohka Coco)
ひじりぐれいる	聖グレイル (Hijiri Grail)
ひめるち	雛芽るち (Hime Ruchi)
ふでそめしき	筆染四季 (Fudesome Shiki)
ほうしょうてあ	宝生てあ (Hosho Tea)
みかげみゆ	観影みゆ (Mikage Miyu)
みさごゆきまち	雎雪待 (Misago Yukimachi)
みなみあやね	南絢音 (Minami Ayane)
みーてぃあ	ミーティア (Meteor)
りいか	りいか (Reeka)
りくどうかろ	六道カロ (Rikudou Karo)
ろっどくろうりー	ロッド・クロウリー (Rod Crowley)

! SLEE
! --------------------------------------------------------------------------------
ももはらみのり	ももはらみのり (Momohara Minori)
ひくらかの	氷儚かの (Hikura Kano)
ひめなぎさ	姫なぎさ (Hime Nagisa)
あかづえまりん	赤杖まりん (Akadzue Marine)
