! にじさんじ
! --------------------------------------------------------------------------------
かおす	Chaos
かる	Karu
きよら	Kiyora
こういち	Kouichi
さまえる	Samael
さや	Saya
しき	Shiki
せいや	Seiya
たびびと	Tabibito
ちはる	Chiharu
ななみ	Nanami
にゃつき	Nyatsuki
ぷらす	Plus
ほしみ	Hoshimi
まひる	Mahiru
みき	Miki
むり	Muri
やぎみちゆき	Yagi
ゆきえ	Yukie
るき	Ruki
ろい	Roi
わくひめ	Waku

! VirtuaReal Star
! --------------------------------------------------------------------------------
りんいぇんようさ		0

! 元 VirtuaReal Project
! --------------------------------------------------------------------------------
はのん	Hanon
みもい	Mimoi
ぱっくす	Pax

! NIJISANJI EN
! --------------------------------------------------------------------------------
あでぃあ	Aadya
びはん	Vihaan
ぬーる	Noor

! ユメノグラフィア
! --------------------------------------------------------------------------------
あおみかやな	Aomi Kayana
あさぎりいづる	Asagiri Izuru
いちのもりこひな	Ichinomori Kohina
かたくらひとみ	Katakura Hitomi
くれまはくぼ	Kurema Hakubo
くれやぺい	Kureya Pei
こはなてくと	Kohana Techt
ころぼしまう	Koroboshi Mau
しのみやとうか	Shinomiya Touca
はえとりかづら	Haetori Kazura
はとおかここ	Hatohka Coco
ひじりぐれいる	Hijiri Grail
ひめるち	Hime Ruchi
ふでそめしき	Fudesome Shiki
ほうしょうてあ	Hosho Tea
みかげみゆ	Mikage Miyu
みさごゆきまち	Misago Yukimachi
みなみあやね	Minami Ayane
みーてぃあ	Meteor
りいか	Reeka
りくどうかろ	Rikudou Karo
ろっどくろうりー	Rod Crowley

! SLEE
! --------------------------------------------------------------------------------
ももはらみのり	Momohara Minori
ひくらかの	Hikura Kano
ひめなぎさ	Hime Nagisa
あかづえまりん	Akadzue Marine
