あいぞのまなみ	UC0WwEfE-jOM2rzjpdfhTzZA	0
あいばういは	UCnRQYHTnRLSF0cLJwMnedCg	0
あかばねようこ	UCBi8YaVyZpiKWN3_Z0dCTfQ	1
あさひなあかね	UCe_p3YEuYJb8Np0Ip9dk-FQ	0
あすかひな	UCiSRx1a2k-0tOg-fs6gAolQ	0
あづちもも	UC6TfqY40Xt1Y0J-N18c85qQ	0
あまみやこころ	UCkIimWZ9gBJRamKF0rmPU8w	0
あめもりさよ	UCRWOdwLRsenx2jLaiCAIU4A	0
あるすあるまる	UCdpUojq0KWZCN9bxXnZwz5w	0
あんじゅかとりーな	UCHVXbQzkl3rDfsXWo8xi2qw	0
いえながむぎ	UC_GCs6GARLxEHxy1w40d6VQ	0
いずもかすみ	UCLpYMk5h1bq8_GAFVBgXhPQ		0
いぬいとこ	UCXRlIK3Cw_TJIQC5kSJJQMg	0
いぶらひむ	UCmZ1Rbthn-6Jm_qOGjYsh5A	0
うしみいちご	UCmUjjW5zF1MMOhYUwwwQv9Q	0
うづきこう	UC3lNFeJiTq6L3UWoz4g1e-A	0
えくすあるびお	UCIytNcoz4pWzXfLda0DoULQ	0
えまおうがすと	UCl1oLKcAq93p-pwKfDGhiYQ	0
えりーこにふぁー	UCpNH2Zk2gw3JBjWAKSyZcQQ	0
えるふのえる	UCYKP16oMX9KKPbrNgo_Kgag	0
おとぎばらえら	UCwQ9Uv-m8xkE5PzRc7Bqx3Q	0
おのまちはるか	UCg63a3lk6PNeWhVvMRM_mrQ	0
かいだはる	UCo2N7C-Z91waaR6lF3LL_jw	0
かがみはやと	UCmovZ2th3Sqpd00F5RdeigQ	0
かたりべつむぐ	UCufQu4q65z63IgE4cfKs1BQ	0
かなえ	UCspv01oxUFf_MTSipURRhkA	0
かんだしょういち	UCWz0CSYCxf4MhRKPDm220AQ
きたこうじひすい	UCRqBKoKuX30ruKAq05pCeRQ	0
ぎるざれんさんせい	UCUzJ90o1EjqUbk2pBAy0_aw	1
きんぎょざかめいろ	UC69URn8iP4u8D_zUp-IJ1sg	0
くずは	UCSFCh5NL4qXrAy9u-u2lX3g	0
くるすなつめ	UCRcLAVTbmx2-iNcXSsupdNA	0
くろいしば	UCmeyo5pRj_6PXG-CsGUuWWg	0
ぐんどうみれい	UCeShTCVgZyq2lsBW9QwIJcw	0
ぐうぇるおすがーる	UC1QgXt46-GEvtNjEC1paHnw	1
さくらりつき	UCfQVs_KuXeNAlGa3fb8rlnQ	1
じょーりきいち	UChUJbHiTVeGrSkTdBzVfNCQ	1
すおうさんご	UCL_O_HXgLJx3Auteer0n0pA	0
すずはらるる	UC_a1ZYZ8ZTXpjg9xUY9sj8w	0
そらぼしきらめ	UC_82HBGtvwN1hcGeOGHzUBQ	1
つきのみと	UCD-miitqNY3nyukJ4Fnf4_A	0
にじさんじ	UCX7YkU9nEeaoZbkVLVajcMg	1
ふみのたまき	UCBiqkFJljoxAj10SoP2w2Cg	0
まちたちま	UCo7TRj3cS-f_1D9ZDmuTsjw	0
やぐるまりね	UCvzVB-EYuHFXHZrObB8a_Og	0
よるみれな	UCL34fAoFim9oHLbVzMKFavQ	1
るいすきゃみー	UCb6ObE-XGCctO3WrjRZC-cw	0
れゔぃえりふぁ	UCtnO2N4kPTXmyvedjGWdx3Q	1

毎日にじさんじ生活	UC-fO5FbHoBNNhtfGh5gBYew	1
カワセミ	UCSy4ovsHKC3OsmO3gfSupLw	1
そらーむ	UC4z3IHrs62HwEpW-4D9hJ-w	1
にじ切りの民	UCOzL9movn_q9l_qNE2pVrZA	1
Vが好きすぎる者	UCfd2kwYa-7Kt5XRomZAq9bg	1
Vtuber切り抜キング	UC3JF7ZR2uc5j4tJy_kVwGhw	0
ばーちゃるタイム	UCOCxiAF2iz67wKHCf5xSatg	1
まるい【にじさんじ切り抜き】	UC58K340b1nlljzhzlN3uo1w	1
ひまvlog	UCbYfRwFlqe3WAyZsA57MFOg	1
ぶいちゅば鑑賞室	UCgb29XNE0ZA_a-CT7OxzS-A	1
karen_ムラサメ	UCtQvTSonGa0XiO6nHB63owQ	0






