! にじさんじ
! --------------------------------------------------------------------------------
たからじまん	🌈🇮🇩 Taka Radjiman
ならはらまうん	🌈🇮🇩 Nara Haramaung
はなまきあ	🌈🇮🇩 Hana Macchia
ぼんにふぃえるぷらなじゃ	🌈🇮🇩 Bonnivier Pranaja
みゆおったゔぃあ	🌈🇮🇩 Miyu Ottavia
らいがりれい	🌈🇮🇩 Rai Galilei
らいらあるすとろえめりあ	🌈🇮🇩 Layla Alstroemeria
りくさでぃれんどら	🌈🇮🇩 Riksa Dhirendra

! NIJISANJI KR
! --------------------------------------------------------------------------------
あきられい	🌈🇰🇷 Akira Ray
いしう	🌈🇰🇷 Lee Siu
いろは	🌈🇰🇷 Lee Roha
うぃふぃ	🌈🇰🇷 Wiffy
がおん	🌈🇰🇷 Gaon
しんゆや	🌈🇰🇷 Shin Yuya
そなぎ	🌈🇰🇷 So Nagi
ちぇあら	🌈🇰🇷 Chae Ara
ちほ	🌈🇰🇷 Han Chiho
なぎ	🌈🇰🇷 So Nagi
ぬんぼら	🌈🇰🇷 Bora Nun
はんちほ	🌈🇰🇷 Han Chiho
ぼら	🌈🇰🇷 Bora Nun
みんすぅーは	🌈🇰🇷 Min Suha
ゆや	🌈🇰🇷 Shin Yuya
れい	🌈🇰🇷 Akira Ray

! NIJISANJI KR (引退・脱退)
! --------------------------------------------------------------------------------
かえん	🌈🇨🇳😥 Kaen
はくれん	🌈🇨🇳😥 Hakuren
ゆるり	🌈🇨🇳😥 Yu Ruri
ろーろー	🌈🇨🇳😥 Lorou

! VirtuaReal Project
! --------------------------------------------------------------------------------
あいね	🌈🇨🇳 艾因(Eine)
あざ	🌈🇨🇳 阿萨(Aza)
いちご	🌈🇨🇳 一果(Ichigo)
かおす	🌈🇨🇳 卡欧斯(Chaos)
かる	🌈🇨🇳 花留(Karu)
きよら	🌈🇨🇳 清良(Kiyora)
こういち	🌈🇨🇳 光一(Kouichi)
さまえる	🌈🇨🇳 萨麦尔(Samael)
さや	🌈🇨🇳 沙夜(Saya)
しき	🌈🇨🇳 紫纪(Shiki)
せいや	🌈🇨🇳 星也(Seiya)
たびびと	🌈🇨🇳 度人(Tabibito)
ちはる	🌈🇨🇳 千春(Chiharu)
ななみ	🌈🇨🇳 七海(Nanami)
にゃつき	🌈🇨🇳 喵月(Nyatsuki)
ぷらす	🌈🇨🇳 有加(Plus)
ほしみ	🌈🇨🇳 星弥(Hoshimi)
まひる	🌈🇨🇳 真绯瑠(Mahiru)
みき	🌈🇨🇳 弥希(Miki)
むり	🌈🇨🇳 无理(Muri)
やぎみちゆき	🌈🇨🇳 八木迪之(Yagi)
